time,xrayimage_id,xrayimage_name,trg,power,TED,TEP_low,TEP_high,TEP
0.0,0,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0001.tif,4.883,1.807,1.623,0.051,0.061,1804.8239258519984
5e-06,0,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0001.tif,4.889,1.8,1.622,0.049,0.06,1762.15495677807
1e-05,0,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0001.tif,0.005,1.795,1.604,0.049,0.06,1725.2892663917737
1.5e-05,0,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0001.tif,-0.001,1.783,1.6,0.049,0.062,1679.6052301712703
2e-05,1,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0002.tif,0.0,1.779,1.619,0.05,0.06,1666.467193297001
2.5e-05,1,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0002.tif,0.001,1.777,1.622,0.049,0.062,1706.0153631716007
3e-05,1,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0002.tif,0.0,1.773,1.628,0.049,0.061,1731.1299675209655
3.5e-05,1,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0002.tif,-0.002,1.777,1.632,0.052,0.061,1767.9956579072618
4e-05,2,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0003.tif,0.0,1.781,1.686,0.049,0.06,1826.700988313695
4.5e-05,2,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0003.tif,0.0,1.791,1.692,0.051,0.059,1784.3920488176577
5e-05,2,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0003.tif,0.0,1.802,1.654,0.05,0.059,1756.7609301570687
5.5e-05,2,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0003.tif,0.0,1.807,1.664,0.049,0.065,1728.5825321622783
6e-05,3,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0004.tif,-0.002,1.801,1.65,0.053,0.064,1694.7319089225566
6.5e-05,3,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0004.tif,0.0,1.798,1.642,0.048,0.061,1661.1411828654884
7e-05,3,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0004.tif,-0.002,1.794,1.646,0.051,0.061,1719.651545903477
7.5e-05,3,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0004.tif,-0.002,1.793,1.628,0.049,0.06,1725.2888594140295
8e-05,4,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0005.tif,-0.001,1.781,1.614,0.05,0.061,1774.0366892799586
8.5e-05,4,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0005.tif,-0.002,1.772,1.619,0.05,0.06,1764.8092141150773
9e-05,4,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0005.tif,-0.001,1.775,1.633,0.051,0.061,1785.3786459862163
9.5e-05,4,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0005.tif,0.001,1.77,1.65,0.048,0.058,1751.0187960370974
0.0001,5,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0006.tif,0.0,1.776,1.656,0.051,0.061,1723.3673896310452
0.000105,5,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0006.tif,-0.002,1.776,1.667,0.047,0.06,2085.001843224922
0.00011,5,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0006.tif,0.001,1.788,1.667,0.05,0.062,2076.723273186346
0.000115,5,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0006.tif,-0.002,1.804,1.643,0.063,0.062,2076.723273186346
0.00012,6,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0007.tif,0.0,1.808,1.636,0.05,0.061,2144.619805247351
0.000125,6,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0007.tif,-0.002,1.812,1.637,0.051,0.061,2141.578810054571
0.00013,6,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0007.tif,0.0,1.804,1.693,0.051,0.06,1995.731462488759
0.000135,6,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0007.tif,0.001,1.804,1.681,0.049,0.061,2016.194192108221
0.00014,7,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0008.tif,-0.002,1.8,1.661,0.059,0.061,2055.822420598389
0.000145,7,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0008.tif,-0.002,1.793,1.649,0.052,0.062,2042.7484681059643
0.00015,7,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0008.tif,-0.002,1.779,1.707,0.053,0.061,2064.9068452214797
0.000155,7,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0008.tif,-0.002,1.77,1.671,0.052,0.062,1852.076423609419
0.00016,8,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0009.tif,0.0,1.775,1.675,0.052,0.063,1834.6199399608863
0.000165,8,053_AlSiMg_200W_500mms_M0_G13_Test_Crossflow_Stepover0009.tif,-0.001,1.775,1.686,0.052,0.062,1800.8483913937503
